vaccine,geography_type,geography,fips,year_season,month,dimension_type,dimension,coverage_estimate,_95_ci,population_sample_size
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,11,Age,6 Months - 17 Years,45.1,44.5 to 45.7,123061
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,10,Age,6 Months - 17 Years,34.3,33.8 to 34.8,123061
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,9,Age,6 Months - 17 Years,15.9,15.5 to 16.3,123061
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,8,Age,6 Months - 17 Years,5.9,5.6 to 6.2,123061
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,7,Age,6 Months - 17 Years,1.5,1.4 to 1.6,123061
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,12,Age,6 Months - 17 Years,49.8,49.2 to 50.4,123061
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,1,Age,6 Months - 17 Years,53.6,53.0 to 54.2,123061
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,5,Age,6 Months - 17 Years,57.8,57.1 to 58.5,123061
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,4,Age,6 Months - 17 Years,57.5,56.8 to 58.2,123061
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,3,Age,6 Months - 17 Years,57.0,56.4 to 57.6,123061
Seasonal Influenza,HHS Regions/National,United States,100,2017-18,2,Age,6 Months - 17 Years,55.8,55.2 to 56.4,123061
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,7,Age,6 Months - 17 Years,1.6,1.5 to 1.7,139358
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,8,Age,6 Months - 17 Years,6.0,5.7 to 6.3,139358
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,1,Age,6 Months - 17 Years,58.3,57.7 to 58.9,139358
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,12,Age,6 Months - 17 Years,55.2,54.6 to 55.8,139358
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,11,Age,6 Months - 17 Years,50.9,50.3 to 51.5,139358
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,10,Age,6 Months - 17 Years,39.0,38.5 to 39.5,139358
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,9,Age,6 Months - 17 Years,17.1,16.7 to 17.5,139358
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,7,Age,6 Months - 17 Years,1.6,1.5 to 1.7,153533
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,5,Age,6 Months - 17 Years,62.5,61.8 to 63.2,139358
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,4,Age,6 Months - 17 Years,62.1,61.4 to 62.8,139358
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,3,Age,6 Months - 17 Years,61.5,60.9 to 62.1,139358
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,4,Age,6 Months - 17 Years,58.6,57.8 to 59.4,126860
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,5,Age,6 Months - 17 Years,58.9,58.1 to 59.7,126860
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,7,Age,6 Months - 17 Years,1.5,1.3 to 1.7,128143
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,8,Age,6 Months - 17 Years,5.6,5.3 to 5.9,128143
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,9,Age,6 Months - 17 Years,15.6,15.1 to 16.1,128143
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,10,Age,6 Months - 17 Years,36.0,35.4 to 36.6,128143
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,11,Age,6 Months - 17 Years,48.4,47.7 to 49.1,128143
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,9,Age,6 Months - 17 Years,15.7,15.2 to 16.2,126860
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,10,Age,6 Months - 17 Years,35.4,34.8 to 36.0,126860
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,11,Age,6 Months - 17 Years,47.5,46.8 to 48.2,126860
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,12,Age,6 Months - 17 Years,52.3,51.6 to 53.0,126860
Seasonal Influenza,HHS Regions/National,United States,100,2011-12,4,Age,6 Months - 17 Years,51.2,50.3 to 52.1,96254
Seasonal Influenza,HHS Regions/National,United States,100,2011-12,5,Age,6 Months - 17 Years,51.5,50.5 to 52.5,96254
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,7,Age,6 Months - 17 Years,1.6,1.4 to 1.8,100829
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,8,Age,6 Months - 17 Years,6.2,5.8 to 6.6,100829
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,9,Age,6 Months - 17 Years,15.4,14.9 to 15.9,100829
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,10,Age,6 Months - 17 Years,32.5,31.9 to 33.1,100829
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,11,Age,6 Months - 17 Years,43.6,42.9 to 44.3,100829
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,12,Age,6 Months - 17 Years,48.7,47.9 to 49.5,100829
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,3,Age,6 Months - 17 Years,58.1,57.4 to 58.8,126860
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,2,Age,6 Months - 17 Years,54.7,53.9 to 55.5,100829
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,3,Age,6 Months - 17 Years,55.6,54.8 to 56.4,100829
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,4,Age,6 Months - 17 Years,56.3,55.4 to 57.2,100829
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,5,Age,6 Months - 17 Years,56.6,55.7 to 57.5,100829
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,7,Age,6 Months - 17 Years,1.5,1.3 to 1.7,126860
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,8,Age,6 Months - 17 Years,6.0,5.6 to 6.4,126860
Seasonal Influenza,HHS Regions/National,United States,100,2012-13,1,Age,6 Months - 17 Years,53.0,52.2 to 53.8,100829
Seasonal Influenza,HHS Regions/National,United States,100,2010-11,8,Age,6 Months - 17 Years,3.3,3.0 to 3.6,116799
Seasonal Influenza,HHS Regions/National,United States,100,2010-11,9,Age,6 Months - 17 Years,12.1,11.6 to 12.6,116799
Seasonal Influenza,HHS Regions/National,United States,100,2010-11,10,Age,6 Months - 17 Years,29.1,28.4 to 29.8,116799
Seasonal Influenza,HHS Regions/National,United States,100,2010-11,11,Age,6 Months - 17 Years,40.7,39.9 to 41.5,116799
Seasonal Influenza,HHS Regions/National,United States,100,2010-11,12,Age,6 Months - 17 Years,45.1,44.3 to 45.9,116799
Seasonal Influenza,HHS Regions/National,United States,100,2010-11,1,Age,6 Months - 17 Years,48.0,47.2 to 48.8,116799
Seasonal Influenza,HHS Regions/National,United States,100,2010-11,2,Age,6 Months - 17 Years,49.4,48.5 to 50.3,116799
Seasonal Influenza,HHS Regions/National,United States,100,2010-11,3,Age,6 Months - 17 Years,50.4,49.5 to 51.3,116799
Seasonal Influenza,HHS Regions/National,United States,100,2010-11,4,Age,6 Months - 17 Years,50.8,49.9 to 51.7,116799
Seasonal Influenza,HHS Regions/National,United States,100,2010-11,5,Age,6 Months - 17 Years,51.0,50.1 to 51.9,116799
Seasonal Influenza,HHS Regions/National,United States,100,2011-12,8,Age,6 Months - 17 Years,4.8,4.4 to 5.2,96254
Seasonal Influenza,HHS Regions/National,United States,100,2011-12,9,Age,6 Months - 17 Years,14.2,13.6 to 14.8,96254
Seasonal Influenza,HHS Regions/National,United States,100,2011-12,10,Age,6 Months - 17 Years,32.0,31.2 to 32.8,96254
Seasonal Influenza,HHS Regions/National,United States,100,2011-12,11,Age,6 Months - 17 Years,42.1,41.3 to 42.9,96254
Seasonal Influenza,HHS Regions/National,United States,100,2011-12,12,Age,6 Months - 17 Years,45.7,44.8 to 46.6,96254
Seasonal Influenza,HHS Regions/National,United States,100,2011-12,1,Age,6 Months - 17 Years,48.1,47.2 to 49.0,96254
Seasonal Influenza,HHS Regions/National,United States,100,2011-12,2,Age,6 Months - 17 Years,49.5,48.6 to 50.4,96254
